date;salesAmount;promotionYes;bridgeDayYes;publicHolidayYes;seasonCode;seasonName;calendarWeek;newSnowCode;newSnowDescription;rainCode;rainDescription;sunshineCode;sunShineDescription;temperaturCode;temperatureDescription;shopsClosedYes;weekdayCode;weekDayDescription
2012-11-01;4574;0;0;0;3;Herbst;44;0;kein Schnee;4;feuchter als Mittel;5;viel mehr als Mittel;4;waermer als Mittel;0;5;Donnerstag
2012-11-02;6531;0;0;0;3;Herbst;44;0;kein Schnee;4;feuchter als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;0;6;Freitag
2012-11-03;7291;0;0;0;3;Herbst;44;0;kein Schnee;3;Mittel;5;viel mehr als Mittel;5;viel waermer als Mittel;0;7;Samstag
2012-11-04;611;0;0;0;3;Herbst;44;0;kein Schnee;5;viel feuchter als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-11-05;4732;0;0;0;3;Herbst;45;0;kein Schnee;5;viel feuchter als Mittel;4;mehr als Mittel;4;waermer als Mittel;0;2;Montag
2012-11-06;4270;0;0;0;3;Herbst;45;0;kein Schnee;4;feuchter als Mittel;3;Mittel;2;kaelter als Mittel;0;3;Dienstag
2012-11-07;5182;0;0;0;3;Herbst;45;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;2;kaelter als Mittel;0;4;Mittwoch
2012-11-08;4783;0;0;0;3;Herbst;45;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;2;kaelter als Mittel;0;5;Donnerstag
2012-11-09;7285;0;0;0;3;Herbst;45;0;kein Schnee;4;feuchter als Mittel;5;viel mehr als Mittel;3;Mittel;0;6;Freitag
2012-11-10;8423;0;0;0;3;Herbst;45;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;0;7;Samstag
2012-11-11;653;0;0;0;3;Herbst;45;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-11-12;4925;0;0;0;3;Herbst;46;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;2;Montag
2012-11-13;11055;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;3;Dienstag
2012-11-14;9875;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;3;Mittel;0;4;Mittwoch
2012-11-15;9133;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;5;Donnerstag
2012-11-16;13275;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;6;Freitag
2012-11-17;15074;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;3;Mittel;0;7;Samstag
2012-11-18;881;0;0;0;3;Herbst;46;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;3;Mittel;1;1;Sonntag
2012-11-19;9352;0;0;0;3;Herbst;47;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;2;Montag
2012-11-20;5252;0;0;0;3;Herbst;47;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;3;Dienstag
2012-11-21;5287;0;0;0;3;Herbst;47;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;2;kaelter als Mittel;0;4;Mittwoch
2012-11-22;4995;0;0;0;3;Herbst;47;0;kein Schnee;3;Mittel;3;Mittel;3;Mittel;0;5;Donnerstag
2012-11-23;7091;0;0;0;3;Herbst;47;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;4;waermer als Mittel;0;6;Freitag
2012-11-24;8535;0;0;0;3;Herbst;47;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;4;waermer als Mittel;0;7;Samstag
2012-11-25;779;0;0;0;3;Herbst;47;0;kein Schnee;4;feuchter als Mittel;2;weniger als Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-11-26;5123;0;0;0;3;Herbst;48;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;2;Montag
2012-11-27;4198;0;0;0;3;Herbst;48;0;kein Schnee;3;Mittel;1;viel weniger als Mittel;3;Mittel;0;3;Dienstag
2012-11-28;4749;0;0;0;3;Herbst;48;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;3;Mittel;0;4;Mittwoch
2012-11-29;4645;0;0;0;3;Herbst;48;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2012-11-30;6242;0;0;0;3;Herbst;48;2;mehr als 1 cm Schnee;3;Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2012-12-01;7693;0;0;0;4;Winter;48;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2012-12-02;803;0;0;0;4;Winter;48;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;3;Mittel;2;kaelter als Mittel;1;1;Sonntag
